id,title,category,subcategory,price,platform,link,description,unsplash_url,local_path
PROD_001,Neutrogena Hydro Boost Water Gel Moisturiser,Skincare,Moisturizer,1150.0,Amazon,https://www.amazon.in/dp/B00NR1YQHM,Clinically proven daily facial moisturizer packed with hyaluronic acid inside an iconic translucent blue gel jar.,https://images.unsplash.com/photo-1612817288484-6f916006741a?w=500&auto=format&fit=crop&q=80,data/images/prod_001_skincare.jpg
PROD_002,Cetaphil Gentle Skin Cleanser Face Wash,Skincare,Cleanser,399.0,Amazon,https://www.amazon.in/dp/B01IPBVK36,"Dermatologist-recommended mild, non-irritating cleanser in an elegant white bottle with a distinctive blue pump cap.",https://images.unsplash.com/photo-1556228720-195a672e8a03?w=500&auto=format&fit=crop&q=80,data/images/prod_002_skincare.jpg
PROD_003,L'Oreal Paris Revitalift Hyaluronic Acid Face Serum,Skincare,Serum,799.0,Amazon,https://www.amazon.in/dp/B08QSRRYGL,Anti-aging hydrating facial serum with 1.5% pure Hyaluronic Acid inside a gorgeous clear glass dropper bottle.,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?w=500&auto=format&fit=crop&q=80,data/images/prod_003_skincare.jpg
PROD_004,"Dr Dermic Co Niacinamide 10% Face Serum | With 2% Zinc, Centella ...more",Skincare,Serum,599.0,Flipkart,https://www.flipkart.com/dermic-co-niacinamide-10-face-serum-2-zinc-centella-extract-hyaluronic-acid/p/itme0da207f730ba?pid=KMTHE3GVMDR3QKGM&lid=LSTKMTHE3GVMDR3QKGMXUXLHS&marketplace=FLIPKART&q=The+Derma+Co+10+Niacinamide+Face&store=g9b%2Fema%2F5la&srno=s_1_1&otracker=search&fm=organic&iid=en_kW773gMRSQ2rHqigVhCNlxRL7wZVwheejDKcTEJV0CQ-YOe0MX-s-HWxYIKE5vQ3KTynhG7I9g8iqGhBLTHlJw%3D%3D&ppt=None&ppn=None&ssid=nixi5tzv4g0000001779792609130&qH=6c8cbf0862d4f2cb&ov_redirect=true&ov_redirect=true,"Premium quality Dr Dermic Co Niacinamide 10% Face Serum | With 2% Zinc, Centella ...more designed for professional performance and luxury feel.",https://images.unsplash.com/photo-1611080626919-7cf5a9dbab5b?w=500&auto=format&fit=crop&q=80,data/images/prod_004_skincare.jpg
PROD_005,"Plum Green Tea Pore Cleanser For Oily, Acne-Prone Skin | Fights P...more",Skincare,Cleanser,349.0,Flipkart,https://www.flipkart.com/plum-green-tea-pore-cleanser-oily-acne-prone-skin-fights-pimples-non-drying-face-wash/p/itmef0f9cc389a48?pid=FCWGG5AYTMKSDUB8&lid=LSTFCWGG5AYTMKSDUB865GIGS&marketplace=FLIPKART&q=Plum+Green+Tea+Pore+Cleansing+Face&store=g9b%2Fema%2F5la&srno=s_1_1&otracker=search&fm=organic&iid=56410fc0-d2c0-4e3e-911b-867c4b72becd.FCWGG5AYTMKSDUB8.SEARCH&ppt=None&ppn=None&ssid=mdxy65rbhc0000001779792620503&qH=21863664bf908133&ov_redirect=true&ov_redirect=true,"Premium quality Plum Green Tea Pore Cleanser For Oily, Acne-Prone Skin | Fights P...more designed for professional performance and luxury feel.",https://images.unsplash.com/photo-1601049541289-9b1b7bbbfe19?w=500&auto=format&fit=crop&q=80,data/images/prod_005_skincare.jpg
PROD_006,Minimalist 10% Vitamin C Face Serum,Skincare,Serum,699.0,Amazon,https://www.amazon.in/dp/B0CW1M1BC1,Radiance-boosting Vitamin C skin treatment formulated with highly stable ethyl ascorbic acid in a dark amber glass bottle.,https://images.unsplash.com/photo-1615396899839-c99c121888b0?w=500&auto=format&fit=crop&q=80,data/images/prod_006_skincare.jpg
PROD_007,Nivea Soft Light Moisturiser Cream,Skincare,Moisturizer,299.0,Amazon,https://www.amazon.in/dp/B00E96N6O8,"Lightweight, fast-absorbing refreshing cream with Vitamin E and Jojoba oil in an iconic circular white tub.",https://images.unsplash.com/photo-1601924994987-69e26d50dc26?w=500&auto=format&fit=crop&q=80,data/images/prod_007_skincare.jpg
PROD_008,BIOTIQUE Morning Nectar Flawless Skin Moisturizer 24H Deep Moistu...more,Skincare,Moisturizer,280.0,Flipkart,https://www.flipkart.com/biotique-morning-nectar-flawless-skin-moisturizer-24h-deep-moisture-all-types/p/itme09a927b48bf6?pid=MSCH7248GHTUQDGG&lid=LSTMSCH7248GHTUQDGG2VDWKY&marketplace=FLIPKART&q=Biotique+Morning+Nectar+Flawless+Skin+Lotion&store=g9b%2Fema%2F5la%2F1ke&srno=s_1_1&otracker=search&fm=organic&iid=en_lxa06LycXT1fWitTYP_cYiqiiC7Mc4HrH27e_Z2mgzLLmiy3_JspmiSg67Z4-nU8TiFKVnT2BKED3mSUfrnp6U0Lqp3nUBlQeeazI_xhu1k%3D&ppt=None&ppn=None&ssid=0tduoq1ikg0000001779792632209&qH=d395f1918463795f&ov_redirect=true&ov_redirect=true,Premium quality BIOTIQUE Morning Nectar Flawless Skin Moisturizer 24H Deep Moistu...more designed for professional performance and luxury feel.,https://images.unsplash.com/photo-1626806787461-102c1bfaaea1?w=500&auto=format&fit=crop&q=80,data/images/prod_008_skincare.jpg
PROD_009,Ponds Super Light Gel Moisturiser,Skincare,Moisturizer,320.0,Amazon,https://www.amazon.in/dp/B09Z6T8H41,24hr hydration non-oily water gel cream with hyaluronic acid and Vitamin E in an organic turquoise blue round tub.,https://images.unsplash.com/photo-1617897903246-719242758050?w=500&auto=format&fit=crop&q=80,data/images/prod_009_skincare.jpg
PROD_010,Forest Essentials Delicate Facial Cleanser Kashmir Saffron & Neem,Skincare,Cleanser,1550.0,Amazon,https://www.amazon.in/s?k=Forest+Essentials+Delicate+Facial+Cleanser+Kashmir+Saffron+&+Neem,Ultra-premium traditional Ayurvedic cleanser in a clear gold-trimmed bottle showcasing Kashmiri Saffron and raw Neem extracts.,https://images.unsplash.com/photo-1596462502278-27bfdc403348?w=500&auto=format&fit=crop&q=80,data/images/prod_010_skincare.jpg
PROD_011,Kama Ayurveda Pure Rose Water Toner,Skincare,Toner,1250.0,Amazon,https://www.amazon.in/s?k=Kama+Ayurveda+Pure+Rose+Water+Toner,Pure steam-distilled floral water toner harvested from Kannauj roses in an elegant dark amber spray bottle with gold labeling.,https://images.unsplash.com/photo-1616683693504-3ea7e9ad6fec?w=500&auto=format&fit=crop&q=80,data/images/prod_011_skincare.jpg
